insee_code,commune_name,department_code,region_code,display_name,is_arrondissement
71354,Poisson,71,27,Poisson (71),False
52398,Poissons,52,44,Poissons (52),False
78498,Poissy,78,11,Poissy (78),False
28301,Poisvilliers,28,24,Poisvilliers (28),False
74213,Poisy,74,84,Poisy (74),False
86194,Poitiers,86,75,Poitiers (86),False
10293,Poivres,10,44,Poivres (10),False
51438,Poix,51,44,Poix (51),False
08341,Poix-Terron,08,44,Poix-Terron (08),False
80630,Poix-de-Picardie,80,32,Poix-de-Picardie (80),False
59464,Poix-du-Nord,59,32,Poix-du-Nord (59),False
70415,Polaincourt-et-Clairefontaine,70,27,Polaincourt-et-Clairefontaine (70),False
31428,Polastron,31,76,Polastron (31),False
32321,Polastron,32,76,Polastron (32),False
69153,Poleymieux-au-Mont-d'Or,69,84,Poleymieux-au-Mont-d'Or (69),False
17281,Polignac,17,75,Polignac (17),False
43152,Polignac,43,84,Polignac (43),False
05104,Poligny,05,93,Poligny (05),False
10294,Poligny,10,44,Poligny (10),False
39434,Poligny,39,27,Poligny (39),False
77370,Poligny,77,11,Poligny (77),False
35231,Poligné,35,53,Poligné (35),False
62662,Polincove,62,32,Polincove (62),False
10295,Polisot,10,44,Polisot (10),False
10296,Polisy,10,44,Polisy (10),False
38310,Poliénas,38,84,Poliénas (38),False
66144,Pollestres,66,76,Pollestres (66),False
01301,Polliat,01,84,Polliat (01),False
01302,Pollieu,01,84,Pollieu (01),False
69154,Pollionnay,69,84,Pollionnay (69),False
15154,Polminhac,15,84,Polminhac (15),False
2B243,Polveroso,2B,94,Polveroso (2B),False
51439,Pomacle,51,44,Pomacle (51),False
40228,Pomarez,40,75,Pomarez (40),False
46222,Pomarède,46,76,Pomarède (46),False
11293,Pomas,11,76,Pomas (11),False
12184,Pomayrols,12,76,Pomayrols (12),False
33328,Pomerol,33,75,Pomerol (33),False
69155,Pomeys,69,84,Pomeys (69),False
21492,Pommard,21,27,Pommard (21),False
62663,Pommera,62,32,Pommera (62),False
22246,Pommeret,22,53,Pommeret (22),False
59465,Pommereuil,59,32,Pommereuil (59),False
76505,Pommereux,76,28,Pommereux (76),False
53180,Pommerieux,53,52,Pommerieux (53),False
22248,Pommerit-le-Vicomte,22,53,Pommerit-le-Vicomte (22),False
26245,Pommerol,26,84,Pommerol (26),False
76506,Pommeréval,76,28,Pommeréval (76),False
77371,Pommeuse,77,11,Pommeuse (77),False
82141,Pommevic,82,76,Pommevic (82),False
62664,Pommier,62,32,Pommier (62),False
38311,Pommier-de-Beaurepaire,38,84,Pommier-de-Beaurepaire (38),False
02610,Pommiers,02,32,Pommiers (02),False
30199,Pommiers,30,76,Pommiers (30),False
36160,Pommiers,36,24,Pommiers (36),False
69156,Pommiers,69,84,Pommiers (69),False
17282,Pommiers-Moulons,17,75,Pommiers-Moulons (17),False
42173,Pommiers-en-Forez,42,84,Pommiers-en-Forez (42),False
57547,Pommérieux,57,44,Pommérieux (57),False
70416,Pomoy,70,27,Pomoy (70),False
